HUMAN	AA	HA	HB	HC	HD	HE	HF	VA	VD	VF	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5
Bacteroides intestinalis	a06	-0.17531 	-0.07491 	0.10321 	0.28785 	0.21551 	-0.17474 	0.02551 	-0.02561 	-0.21784 	-0.201675746	-0.511830675	-0.270668618	-0.137137225	0.034713032	0.034713032	0.086006326	-0.137137225	0.086006326	-0.076512603	-0.137137225	-0.270668618	0.034713032	-0.34477659	0.268327883	0.491471434	0.034713032	0.13479649	-0.270668618	-0.270668618	0.827943671	0.673792991	0.309149877	0.457569883	0.309149877	-0.201675746	0.457569883	0.556009955	0.086006326	0.086006326	-0.71250137	-0.963815798	0.086006326	0.225768268	0.181316506	0.13479649	-0.01935419	-0.137137225	0.225768268	-0.076512603	0.13479649	-0.201675746	0.13479649	0.034713032	-0.076512603	-0.01935419	-0.137137225	0.034713032	-0.137137225	-0.424819298	-0.424819298						
Bacteroides ovatus	a07	-0.59727 	-0.46312 	0.26962 	0.82900 	0.59413 	0.22336 	-0.38812 	-0.40422 	-0.62810 	-0.600789768	-0.913164453	-0.650800188	-0.553161719	-0.422541536	-0.443160823	-0.325377788	-0.5301722	-0.23682439	-0.402338829	-0.553161719	-0.730842896	-0.422541536	-0.730842896	1.54357132	1.756375894	-0.325377788	-0.20348797	-0.676775675	-0.650800188	1.69690534	1.728270999	1.431841356	1.44453994	-0.171227108	-0.600789768	1.425431078	1.396065183	0.748233199	0.767042531	-0.443160823	-0.443160823	0.521920073	0.655451465	0.575987294	0.473129908	-0.443160823	-0.553161719	-0.187227449	-0.485720438	-0.271310567	-0.650800188	0.521920073	-0.422541536	-0.485720438	-0.983955532	-0.62548238	-0.443160823	-0.464214233	-0.759013773	-0.848625932						
Bacteroides salanitronis	a08	0.03090 	0.03724 	0.06577 	-0.01398 	-0.03795 	-0.41023 	0.29006 	0.15708 	-0.05324 	0.009544121	-0.288948867	0.101917441	0.101917441	0.159075855	0.101917441	0.072064478	-0.023245701	0.159075855	0.072064478	0.072064478	-0.128606217	0.239118563	-0.128606217	-0.092238573	-0.023245701	0.213143077	0.18647483	-0.166346545	-0.057147253	0.239118563	0.159075855	-0.166346545	-0.092238573	0.264436371	0.130904978	0.289128984	0.101917441	-0.480004104	-0.534071325	-0.651854361	-0.651854361	-0.288948867	-0.246389253	-0.288948867	-0.33340063	0.239118563	0.130904978	0.50738255	0.213143077	0.359746551	0.072064478	0.359746551	0.213143077	0.130904978	0.009544121	-0.166346545	0.101917441	0.130904978	-0.166346545	-0.166346545						
Bacteroides thetaiotaomicron	a09	0.12162 	0.36149 	0.15750 	-0.25177 	-0.23748 	-0.58655 	0.39767 	0.12104 	0.09764 	0.124153478	-0.352543066	-0.008291821	0.235871739	0.34295761	0.38755245	0.560916139	0.296773357	0.669372048	0.443936184	0.141555309	0.056371943	0.311436376	-0.038124541	-0.187811694	0.041229698	0.409785469	0.408465337	0.07190503	0.151852883	-0.435023553	-0.556780698	-0.351601003	-0.390972387	0.419848998	-0.193422932	-0.413756929	-0.23026705	-0.477894728	-0.529412969	-1.345700593	-0.876970038	-0.403786756	-0.242012151	-0.286885944	-0.363917597	0.348115887	0.251963444	0.525905832	0.339189353	0.52316127	0.008270333	0.633808142	0.163734211	0.048198367	-0.248786098	-0.004291815	0.056997921	0.314827031	-0.114617695	0.235283783						
Bacteroides uniformis	a10	0.07605 	0.12220 	0.09954 	-0.11461 	-0.10173 	-0.54552 	0.34691 	0.21362 	-0.00364 	0.072524227	-0.201171603	0.113909443	0.113909443	0.216563598	0.140577691	0.216563598	0.058339592	0.275752469	0.191870985	0.086510469	-0.095811088	0.353139133	-0.01576838	-0.201171603	-0.147104382	0.29848072	0.309654021	-0.095811088	-0.047020923	0.127332464	0.029352055	-0.361514253	-0.340008048	0.374192542	0.204293505	0.275752469	-0.01576838	-0.724419747	-0.724419747	-0.501276196	-0.788958268	-0.452486031	-0.476583583	-0.501276196	-0.55256949	0.275752469	0.166553177	0.597336093	0.240661149	0.454235249	0.086510469	0.374192542	0.287181165	0.153649772	0.166553177	-0.031272566	0.240661149	0.058339592	-0.238911931	-0.047020923						
Bacteroides vulgatus	a11	-0.93250 	-0.86100 	-0.02493 	1.19871 	1.20727 	1.35045 	-0.76004 	-0.60553 	-0.96002 	-0.98788556	-1.275567632	-0.927260938	-0.898273401	-0.715951844	-0.790059816	-0.764742008	-0.927260938	-0.740049396	-0.898273401	-0.816035303	-1.019634258	-0.764742008	-1.121416952	1.282950835	1.728463444	-0.692421347	-0.582420451	-1.052424081	-1.019634258	2.700212339	2.396504704	1.941640136	2.225977723	-0.502377744	-0.870102524	2.144887566	2.42676262	2.049168584	1.995267932	0.273766356	-0.98788556	2.165117521	2.285715165	2.181011895	2.184946327	-0.816035303	-0.957113901	-0.541598457	-0.816035303	-0.669431828	-0.898273401	0.190769437	-0.790059816	-0.790059816	-0.740049396	-0.957113901	-0.790059816	-0.84270355	-1.157784596	-1.052424081						
Bacteroides xylanisolvens	a12	-0.94463 	-0.77436 	0.33339 	1.19955 	0.94599 	0.80882 	-0.79487 	-0.67827 	-1.05973 	-0.995162072	-1.282844144	-0.995162072	-0.915119364	-0.70748	-0.772018521	-0.772018521	-0.915119364	-0.484336448	-0.70748	-0.772018521	-0.995162072	-0.772018521	-1.177483629	2.303756461	2.526284438	-0.535629743	-0.344574506	-1.082173449	-1.082173449	2.460102531	2.501345489	2.19668508	2.203511046	-0.589696964	-0.995162072	2.168905516	2.147552392	1.461573701	1.482775908	-0.07887134	0.01643884	1.192760113	1.340212844	1.247319097	1.135051795	-0.841011392	-0.995162072	-0.589696964	-0.841011392	-0.70748	-0.995162072	0.985839397	-0.841011392	-0.915119364	-1.625876752	-1.082173449	-0.915119364	-0.841011392	-1.177483629	-1.282844144						
Bifidobacterium adolescentis	a13	-0.13545 	1.01585 	0.24832 	-0.51921 	-0.51921 	-0.90297 	0.47858 	0.47858 	0.01806 	-0.902974546	1.399610547	-0.902974546	-0.902974546	1.399610547	-0.902974546	-0.902974546	1.399610547	1.399610547	1.399610547	1.399610547	1.399610547	1.399610547	1.399610547	-0.902974546	-0.902974546	-0.902974546	1.399610547	1.399610547	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	1.399610547	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	-0.902974546	1.399610547	1.399610547	1.399610547	1.399610547	-0.902974546	1.399610547	1.399610547	-0.902974546	-0.902974546	-0.902974546	-0.902974546	1.399610547	1.399610547						
Bifidobacterium animalis	a14	0.58226 	-0.48390 	-0.28324 	-0.05219 	-0.16771 	-0.05219 	0.23685 	0.15576 	0.15576 	-0.398761457	0.294385724	0.987532904	1.210676455	0.699850832	0.699850832	-0.398761457	-2.70134655	0.699850832	0.294385724	-0.398761457	-0.398761457	-0.398761457	-0.398761457	-0.398761457	-0.398761457	0.294385724	-0.398761457	0.294385724	0.294385724	-0.398761457	0.294385724	-0.398761457	-0.398761457	-0.398761457	0.294385724	0.294385724	-0.398761457	-0.398761457	-0.398761457	0.294385724	0.294385724	0.294385724	-0.398761457	-0.398761457	-0.398761457	0.294385724	-0.398761457	0.987532904	-0.398761457	0.699850832	0.294385724	0.294385724	-0.398761457	0.294385724	0.294385724	0.294385724	-0.398761457	0.294385724	0.294385724	0.294385724						
Bifidobacterium bifidum	a15	0.17380 	0.28932 	0.17380 	0.17380 	0.05827 	-1.47678 	0.05827 	0.33553 	0.33553 	0.058274819	0.751421999	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.751421999	0.058274819	0.751421999	0.058274819	0.751421999	0.058274819	0.058274819	0.058274819	0.058274819	0.751421999	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	-2.244310274	0.058274819	-2.244310274	-2.244310274	-2.244310274	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.058274819	0.751421999	0.751421999	0.058274819	0.058274819	0.058274819	0.058274819	0.751421999	0.751421999						
